block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
23353981,2022-01-05 00:08:11,SWAP,0x71ec40370b2017fb132f643718b3dd23ecfad84917efb4e1ceaa0b950139488a,0,3,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,5682272143,-1504046948694688701,1370269449887500119,0,1289268048326409011782105135411003,193954.0,,,,
23353981,2022-01-05 00:08:11,SWAP,0xbc3e694cfb5b395de2aa0880169e2241b02338e0549d306afe6e965b9f1a5832,64,358,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2000000000,-529333958601527379,1370269449887500119,0,1289237442552559318330786890493527,193954.0,,,,
23353987,2022-01-05 00:08:27,SWAP,0xaa435704058d67fc0b976763a5f9ec34d28aff137f6cd5f461a2a24f2061cabc,32,153,,0xe592427a0aece92de3edee1f18e0157c05861564,0xf2e4209afa4c3c9eaa3fb8e12eed25d8f328171c,2000000000,-529308827612091535,1370269449887500119,0,1289206838231768448697551379869311,193953.0,,,,
23353996,2022-01-05 00:08:45,SWAP,0x4af78da090590edbb5b58e60631478245c5cea3bf71aad6f7bb837f43168bd1f,57,194,,0xe592427a0aece92de3edee1f18e0157c05861564,0xf2e4209afa4c3c9eaa3fb8e12eed25d8f328171c,2000000000,-529283698412315018,1370269449887500119,0,1289176235363932925847161490955503,193953.0,,,,
23354003,2022-01-05 00:08:59,SWAP,0xd82c2743a27892d16ea002777257990c2e05009c63ca423489b0f464bb5f0b0e,25,94,,0xe592427a0aece92de3edee1f18e0157c05861564,0xf2e4209afa4c3c9eaa3fb8e12eed25d8f328171c,2000000000,-529258571002027905,1370269449887500119,0,1289145633948949282569394285973830,193952.0,,,,
23354007,2022-01-05 00:09:07,SWAP,0xed962a1e861e6d17cc16cdbccaa9421ef06f1eecb55c58ded7d077c936fd6a8a,0,3,,0xe592427a0aece92de3edee1f18e0157c05861564,0xc6d5ad3c4002a1b48d87b83939698660516ae142,15395983787,-4073387771244247486,1395128131590419632,0,1288911018771896468642711393513864,193949.0,,,,
23354033,2022-01-05 00:09:59,MINT,0x19c7d8a662009b5a14b7a0630f07b86ec8bdd663d34a4f674e3ebe5b33ba244b,31,144,146.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,16738133293,2892535954003525198,1455262468155384164,60134336564964532,1288911018771896468642711393513864,193949.0,13285.0,193890.0,194040.0,60134336564964532
23354036,2022-01-05 00:10:05,SWAP,0xb72b71ace3444aeb9bb7b31b62aa3fda874ac3970ecc1b4f8a56f7aa6b68be36,0,3,,0xe592427a0aece92de3edee1f18e0157c05861564,0x6614d26064d762922c7bc7a00337713d5169ae7c,5182355703,-1370792045025054855,1455262468155384164,0,1288836389392459391330952024228523,193948.0,,,,
23354036,2022-01-05 00:10:05,SWAP,0x19496fbbcf8f1b6268f3126b77fcc992afc562473976d260917eeefbb44d95fe,91,346,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,1100000000,-290942092381018051,1455262468155384164,0,1288820549770479294899373407937752,193947.0,,,,
23354056,2022-01-05 00:11:43,SWAP,0x9661410ccf5a9d29eb5c0bcfbdedb232cfc3111c6cd617dace949a847ec21bf5,0,3,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,42505246710,-11236857560965522868,1453959908969200824,0,1288208690242473087777617528638617,193938.0,,,,
