address,position_id,tick_lower,tick_upper,start_time,end_time,liquidity,start_hash,end_hash
0x87692dd6bbfa1954b2ae3999d74efc08274bf2a8,639384,199140.0,199160.0,2024-01-05 11:19:23,,6752337109520767,0x6cb04621673dd6250d93370c239422c019f1dea9444976b0498d7b73ea253986,
0x9d998f1e57b90f0baf7426e10a43d358c30e8655,538133,199580.0,202230.0,,2024-01-05 09:15:23,1451194532944622,,0xa70501375e8bb951ffbe848423e1e31ae7fe51cd2cbecf0e9653b81c00b07fcf
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c-199100-199110,199100.0,199110.0,2024-01-05 01:39:23,2024-01-05 01:39:23,614227170986500415375,0xaeb8569189f8e5b045f1bd1f0136bab700feecc2467ee1f94c11a21dfd58c11b,0xfd72ee3ba310d5d4df51a38bc048db0ab7f81d6c49479e025ea8f4fb49c01b20
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c-199130-199140,199130.0,199140.0,2024-01-05 02:01:47,2024-01-05 02:01:47,448495425914753101972,0x4694fe77f71c02e79b05d9cdff5bcacb109f0138aa22af8087ac3efd4fd80db8,0x0d7619e86789b0b44081e0eabccda99bce8753333e84388e0d39b5b81601eadc
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c-199140-199150,199140.0,199150.0,2024-01-05 11:26:47,2024-01-05 11:26:47,1002279992782816783129,0x42118904ddd2d9b9b574f1af1519bc21aa44220aa1011d5b6280363f8cf38164,0x4c8a08e80888fc9cc3568df38902ca523c5f6ba009f8304c68541ce84393a0e0
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c-199150-199160,199150.0,199160.0,2024-01-05 02:35:35,2024-01-05 02:35:35,515818318809374347431,0x99ced896693fa98acebcdf1589158110648e5112bae50828d011239f2a47f5d3,0xaff53d5d3c455391bf7e8c19ad4ecca6f800458a068740ffb66a20501c5b3059
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c-199150-199160,199150.0,199160.0,2024-01-05 06:40:35,2024-01-05 06:40:35,794822797296465870910,0x578462eb1ed4ec0c4b54914fdab14713ce8dd368df51274dd73da62bb8d1f269,0x8147994607113f1a2dfb6159dbc854bb16857ffe803996286b33d716db5fae9a
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c-199150-199160,199150.0,199160.0,2024-01-05 11:42:35,2024-01-05 11:42:35,723012683484740188592,0x7f0db523c513551a4ef758b2f0d20d365400b628e75e55e5b78354b6bb764d24,0xc26bd2da6141e2dad3d4e3710c84ae7c12a14c1f48200398b127f1a6518b33f1
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c-199170-199180,199170.0,199180.0,2024-01-05 20:43:59,2024-01-05 20:43:59,829408164174315245516,0xa2956ce07cb55ae97fc28edf19f2bd03391ac4546511df3c56b8075ad1d95171,0xf926162a57f59e1f71171008fe38c480ef454050beb1a100131c051e53d8a09a
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c-199180-199190,199180.0,199190.0,2024-01-05 02:25:11,2024-01-05 02:25:11,765374263122194624465,0xe84fa9b8e0fe7444c521a4f9a14c7ad9c0854d491e883f99754027815f9a0abe,0xe83a490b73f6e392aac4471d57111d393d65c0d00195f3f938a05aa4b3c3d856
0xa9ed075d64939c1ef7d31b4143e4a18b5c964e01,637303,198310.0,198690.0,,2024-01-05 01:38:59,80515316706802048,,0x58e7d9533efea42a4bdb31d6e4855890d4429cc7ed8b1cdf5d8181289af539eb
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,638922,199070.0,199080.0,2024-01-05 01:27:23,2024-01-05 03:08:23,12845260104161748465,0x591575a0d48d816e2886b73e4d1978e982ad59571b4b22d7408164eaf4c1e216,0x6f31b6df388849161b24bce28d31e91fa064a4958e4c49ec4cc186976c0ebedb
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,639017,199130.0,199140.0,2024-01-05 03:08:59,2024-01-05 06:11:11,18973013319479680796,0x29f9d7d504f10a330d09bf60156b0ef6b3ff713c63b98b4ecf31862c264295b5,0x3037c78abd5f109ed28a73bf8708302ede353f744de15bc8f94e72e097e38a55
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,639635,199270.0,199280.0,2024-01-05 17:01:23,2024-01-05 17:16:47,21195756648152803029,0x72af6ed3b22f53aa90bcbfbc9c0ca67c8bad66a0b3293e7b89d145b9c2533f78,0x70da7cd0169a8cdb2230665211ddc26529a0fb33c048d0c90a6a1da4f1b38dd1
0xb104740792cabb0a95784e272fd7d989d0fadd72,639626,198480.0,200030.0,2024-01-05 16:41:47,,39569969614309,0x6063934c3368a12ccdcc4ef0bb339c88e0729a89fa1ed58b26738759d3d89daf,
0xb36d0742725f5d6db92227611f0ff3578afd0e29,618587,198510.0,199380.0,2024-01-05 15:46:59,2024-01-05 16:16:11,3160689410113665,0x20b264abfd39dcf706cad33eb0c2cdf8f11fa41ab1fc449838aa6cb15c1cd487,0xdd41020aab72390f327dd3fb97514b7c75a55ccf85d183291ccbe111239858f7
0xb36d0742725f5d6db92227611f0ff3578afd0e29,618587,198510.0,199380.0,2024-01-05 16:16:11,2024-01-05 22:03:35,9303302658819284,0xdd41020aab72390f327dd3fb97514b7c75a55ccf85d183291ccbe111239858f7,0x168a988918369cb0585f689e5fa4a82cd0ed6979561b0443aa84c68ac61b6a2f
0xb36d0742725f5d6db92227611f0ff3578afd0e29,618587,198510.0,199380.0,2024-01-05 22:03:35,,42146035944809162,0x168a988918369cb0585f689e5fa4a82cd0ed6979561b0443aa84c68ac61b6a2f,
0xb36d0742725f5d6db92227611f0ff3578afd0e29,621053,198210.0,199060.0,,2024-01-05 15:46:11,43508479034155952,,0x21291d246529798c2f008619288a80140ec03147431b7930d7e5c8a607713a6e
0xb3f375556587c21933b4b416d07e5b6c61696da4,601814,199360.0,201940.0,,2024-01-05 10:57:59,3030426920523836,,0xd93cc651c5d852bfabc372abf5682eb73bf7811d002905ab9b5bb45c6c96b999
0xb3f375556587c21933b4b416d07e5b6c61696da4,639377,198480.0,199770.0,2024-01-05 11:09:11,,9177609115137693,0x0f4be9b95da74c309b020161ca4458b4345594c83fee456ae9760a526656ce26,
0xbe284ab5a8038812f0e8a01559eb253f98d8da69,639419,198650.0,200060.0,2024-01-05 11:59:23,2024-01-05 18:04:35,26590489247352,0xb4b0b340df3637a3aba91c474d740bdaf68e07cfc65fb640848e4249fa2d4974,0xc158262697b37d803342e6a4ab1fd52774bbd34f547f2c102f5f34fd11330ba2
0xbe8728d60ce3faa23f2f0610715e3fd7f76fd219,638648,198930.0,199030.0,,2024-01-05 01:24:35,72789684269746546,,0x9e1ab54c7a97cbbe149958e4122691eb382e7a59f0c184a258366436f4d220c8
0xc3a1d6997d9f27301c3663b816e6a879f9cd2f84,634419,196540.0,200350.0,,2024-01-05 06:39:11,20925330581742910,,0xff008cd2b0512bcaef732c9b15c6e1077524779ea1d8b21ce62e9161d79311b6
0xc3a60ac0d824346b40e84d09cf035d9b5c4bc7d3,621101,197070.0,200490.0,2024-01-05 01:09:23,,52651006016190,0x562237adbb39b66355f7d7a7a654fc965aaca70fb335f9792ff1017198949956,
0xca70c738ae23a8a0c46dd5e29f5bde668807a584,601918,195930.0,199840.0,2024-01-05 09:51:23,,1424910186458387,0x39a61476ef80bb41565bf93510adb232469c218831edf54ead4086d308ee3591,
0xd5483a86a8fb9b54a0d0f361a384aa3c5b8ce000,639606,198080.0,200290.0,2024-01-05 15:56:59,,903399772021642,0x2c289a1db82bb6d9edc7378012925c81939b5b30447a0ef19702a1634741c495,
0xe31aec7168259c8f7ccdad01acade55d59977624,624505,198590.0,199240.0,,2024-01-05 17:31:11,33438636543233293,,0x9d2ed95d2b78afb3bfe71a55823bae6b6da888f27ac8d9829ecb723423c7cc5c
0xec08867a12546ccf53b32efb8c23bb26be0c04f1,620838,198470.0,199800.0,,2024-01-05 11:35:59,558031275582050453,,0x3d03f5d4a9aaf34ce4b65a83cd208ec2eb7b9b5482a806bde217c0d1e4775e31
0xec8f23cbe9655ea367ffa1e4868c9ae7f0577771,636281,198090.0,198900.0,,2024-01-05 10:31:59,2539262780326685,,0xdb5c7cfbcac4375dab2abc7d03268160349d38fa50253b423d28d1ab7911b14e
