block_number,block_timestamp,tx_type,transaction_hash,transaction_index,log_index,reserve,owner,amount,liquidator,debt_asset,debt_amount,atoken
51999267,2024-01-06 08:00:37,AAVE_WITHDRAW,0x1a83712f64b2508876ae16e6d8dfd14d3d1004f5d96eb04808bd9afb9eb4a7bc,19,269,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xa9cffe466ba8a72707d1104de239c9ab477e2493,1660,,,,
51999299,2024-01-06 08:01:45,AAVE_REPAY,0x43bc9f10fed1ede805eb47c1bae5d214c55f029146609d77329a14a489b5b369,101,1028,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xb2dbffbad7cd600834dd91216aa75b4f43e00e2c,8496755017,,,,0.0
51999414,2024-01-06 08:05:56,AAVE_WITHDRAW,0x2adab051d16bb00dc5391854fe6f0a644fcbf2f7499bc2ae60a35f9f879d47fd,45,243,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x301f221bc732907e2da2dbbfaa8f8f6847c170c3,9346101,,,,
51999414,2024-01-06 08:05:56,AAVE_WITHDRAW,0x2adab051d16bb00dc5391854fe6f0a644fcbf2f7499bc2ae60a35f9f879d47fd,45,281,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x301f221bc732907e2da2dbbfaa8f8f6847c170c3,9346101,,,,
51999414,2024-01-06 08:05:56,AAVE_WITHDRAW,0x2adab051d16bb00dc5391854fe6f0a644fcbf2f7499bc2ae60a35f9f879d47fd,45,308,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc14912f4b8c445375f6386d1c831666f7884b91e,444477,,,,
51999422,2024-01-06 08:06:12,AAVE_REPAY,0xec75c71eb7b273857dd6528e06747d66c362288e14cd84128aca7bf4e686cdc2,94,451,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xb81bcc782742c5ec4a58fe0c6d180ed10acac3c7,227350567,,,,0.0
51999433,2024-01-06 08:06:49,AAVE_WITHDRAW,0x30a177c967142ce42ff99cc233a126d51bbe5bbd8066080be4f7950018b74df4,61,300,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,120000000,,,,
51999473,2024-01-06 08:08:15,AAVE_WITHDRAW,0x04583ac183b9c80c3e570b33842f2def64d2bfb5388766980ca0da9f4f3dcd74,127,1015,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,200000000,,,,
51999532,2024-01-06 08:10:19,AAVE_REPAY,0x937c5c620e39219c715e7db55a84bfcfda33c1a9f021cd25c4c9cd668fe7ff85,69,271,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x7dab035a8a65f7d33f1628a450c6780323d3c5e1,3346735323,,,,0.0
51999603,2024-01-06 08:12:51,AAVE_SUPPLY,0xb5e887ed0282594691fef39e1c7598eb638aa8a0e061cda65565a739b803022d,91,353,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x99465f2aa17823fff6449c576ead36364ae42b18,890742170,,,,
51999622,2024-01-06 08:13:31,AAVE_BORROW,0xd8e000c3fa2156b6a41b77f02728aa4418e44da1e9cf991225571a88c4b1c0d3,50,296,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xbf4ebea7279de8517f60bd5fdbe9aebe03de90ed,2900000000,,,,
51999785,2024-01-06 08:19:17,AAVE_REPAY,0xbe3623ce2a6e8579cea7582165982acb42a09c24421fd673cc4112bca20ce504,36,180,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x9f231589f34df73a20e7a1d4d1ae1beaf0151d33,3530855659,,,,0.0
51999831,2024-01-06 08:20:55,AAVE_WITHDRAW,0xa9fcbf518476c2110996f265ebb6690c000b92f750fed56ae7f443b82c409c26,39,206,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x301f221bc732907e2da2dbbfaa8f8f6847c170c3,5448580,,,,
51999831,2024-01-06 08:20:55,AAVE_WITHDRAW,0xa9fcbf518476c2110996f265ebb6690c000b92f750fed56ae7f443b82c409c26,39,238,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x301f221bc732907e2da2dbbfaa8f8f6847c170c3,5448580,,,,
51999831,2024-01-06 08:20:55,AAVE_WITHDRAW,0xa9fcbf518476c2110996f265ebb6690c000b92f750fed56ae7f443b82c409c26,39,262,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x344ba5b3ff73b05e698dfb461c810c0d744edc54,315273,,,,
52000088,2024-01-06 08:30:04,AAVE_WITHDRAW,0x390b045cae88056616a356aadf14ee01e9ccd18b48bcb1dbf1b819160b157d8b,49,224,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,480000000,,,,
52000088,2024-01-06 08:30:04,AAVE_WITHDRAW,0x390b045cae88056616a356aadf14ee01e9ccd18b48bcb1dbf1b819160b157d8b,49,249,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,1000000000,,,,
52000088,2024-01-06 08:30:04,AAVE_WITHDRAW,0x390b045cae88056616a356aadf14ee01e9ccd18b48bcb1dbf1b819160b157d8b,49,291,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,440000000,,,,
52000088,2024-01-06 08:30:04,AAVE_WITHDRAW,0x390b045cae88056616a356aadf14ee01e9ccd18b48bcb1dbf1b819160b157d8b,49,328,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,79999999,,,,
