block_number,block_timestamp,transaction_hash,pool_tx_index,pool_log_index,pool_topics,pool_data,proxy_topics,proxy_data,proxy_log_index
50352151,2023-11-25 00:09:55+00:00,0xcd9d7c1556f021bdfb99e95a3e65f073e651b50c3520c49883f5af6d9661f112,26,82,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000ba08a7b4f5386d33df92fcaca64909690cfcfd19', '0x000000000000000000000000ba08a7b4f5386d33df92fcaca64909690cfcfd19']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffff44fd544000000000000000000000000000000000000000000000000014ec5a314058643000000000000000000000000000000000000559b9f62edff0c026ebce0cafff30000000000000000000000000000000000000000000000000fdb1d86070254ed0000000000000000000000000000000000000000000000000000000000030ce5,[],,
50352164,2023-11-25 00:10:23+00:00,0xfc24ac70627077fff9d74d0a0ec20d24e91c61a564b6ab0b2816f3147fc9b84f,279,471,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000001111111254eeb25477b68fb85ed929f73a960582', '0x0000000000000000000000001111111254eeb25477b68fb85ed929f73a960582']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffe27dc8a0000000000000000000000000000000000000000000000000034d30ca2010c00000000000000000000000000000000000000559ba2b75fbc09ca88b3410550d50000000000000000000000000000000000000000000000000fdb1d86070254ed0000000000000000000000000000000000000000000000000000000000030ce5,[],,
50352167,2023-11-25 00:10:29+00:00,0x52d98841c26b48e1e6bc8e9087a5e4c3383f60e1f468ca187869903c8dad4a2b,2,15,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000008e2256050d3911e072dcbbc575cddc852eff8bd3', '0x0000000000000000000000008e2256050d3911e072dcbbc575cddc852eff8bd3']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffd08177a300000000000000000000000000000000000000000000000005505bb47bd3c39d000000000000000000000000000000000000559bf877e8001d87e5148836cb650000000000000000000000000000000000000000000000000fdb1d86070254ed0000000000000000000000000000000000000000000000000000000000030ce5,[],,
50352176,2023-11-25 00:10:49+00:00,0xda1a209dcc9356d0e8a595bf6cb419fb6d3f755422ff593a2dccaa97493649c2,294,442,"['0x7a53080ba414158be7ec69b987b5fb7d07dee101fe85488f0853ae16239d0bde', '0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe88', '0x0000000000000000000000000000000000000000000000000000000000030c1e', '0x00000000000000000000000000000000000000000000000000000000000312a4']",0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe8800000000000000000000000000000000000000000000000000001864fee65f5500000000000000000000000000000000000000000000000000000000052bccc90000000000000000000000000000000000000000000000000014b7d8fe761348,"['0x3067048beee31b25b2f1681f88dac838c8bba36af25bfb2b7cf7473a5847e35f', '0x0000000000000000000000000000000000000000000000000000000000115fc5']",0x00000000000000000000000000000000000000000000000000001864fee65f5500000000000000000000000000000000000000000000000000000000052bccc90000000000000000000000000000000000000000000000000014b7d8fe761348,443
50352194,2023-11-25 00:11:27+00:00,0xfae2d78b5d02f84600b20aa34ae002e636cef0759adc696e9d12ecb378ec1916,248,297,"['0x0c396cd989a39f4459b5fa1aed6a9a8dcdbc45908acfd67e028cd568da98982c', '0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe88', '0x0000000000000000000000000000000000000000000000000000000000030c1e', '0x00000000000000000000000000000000000000000000000000000000000312a4']",0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,[],,
50352194,2023-11-25 00:11:27+00:00,0xfae2d78b5d02f84600b20aa34ae002e636cef0759adc696e9d12ecb378ec1916,248,300,"['0x70935338e69775456a85ddef226c395fb668b63fa0115f5f20610b388e6ca9c0', '0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe88', '0x0000000000000000000000000000000000000000000000000000000000030c1e', '0x00000000000000000000000000000000000000000000000000000000000312a4']",0x000000000000000000000000e4888bcd9dfb5ea6bf25aa855b104b17978ce7b4000000000000000000000000000000000000000000000000000000000001842e00000000000000000000000000000000000000000000000000002ba9523e9b0c,"['0x40d0efd1a53d60ecbf40971b9daf7dc90178c3aadc7aab1765632738fa8b8f01', '0x0000000000000000000000000000000000000000000000000000000000115fc5']",0x000000000000000000000000e4888bcd9dfb5ea6bf25aa855b104b17978ce7b4000000000000000000000000000000000000000000000000000000000001842e00000000000000000000000000000000000000000000000000002ba9523e9b0c,301
50352197,2023-11-25 00:11:33+00:00,0xefc41e01e9b5696e89644510c9bc86439b9147b044c0b1805aaddbad1ba93d2d,313,383,"['0x0c396cd989a39f4459b5fa1aed6a9a8dcdbc45908acfd67e028cd568da98982c', '0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe88', '0x0000000000000000000000000000000000000000000000000000000000030c1e', '0x00000000000000000000000000000000000000000000000000000000000312a4']",0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,[],,
50352197,2023-11-25 00:11:33+00:00,0xefc41e01e9b5696e89644510c9bc86439b9147b044c0b1805aaddbad1ba93d2d,313,384,"['0x70935338e69775456a85ddef226c395fb668b63fa0115f5f20610b388e6ca9c0', '0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe88', '0x0000000000000000000000000000000000000000000000000000000000030c1e', '0x00000000000000000000000000000000000000000000000000000000000312a4']",0x000000000000000000000000e4888bcd9dfb5ea6bf25aa855b104b17978ce7b400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"['0x40d0efd1a53d60ecbf40971b9daf7dc90178c3aadc7aab1765632738fa8b8f01', '0x0000000000000000000000000000000000000000000000000000000000115fc5']",0x000000000000000000000000e4888bcd9dfb5ea6bf25aa855b104b17978ce7b400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,385
50352204,2023-11-25 00:11:47+00:00,0x77b815da0b6dc0d22e2a8548b3e7c086e23dd4424c916ca02a948973e3932670,524,724,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000643770e279d5d0733f21d6dc03a8efbabf3255b4', '0x00000000000000000000000056e2c27aa3b872d621c770e7a74960aee6602bf8']",0x00000000000000000000000000000000000000000000000000000000006ecc46fffffffffffffffffffffffffffffffffffffffffffffffffff39d9618110aa7000000000000000000000000000000000000559bf7aff5a2f2fc59d790635edd0000000000000000000000000000000000000000000000000fdb35eb05e8b4420000000000000000000000000000000000000000000000000000000000030ce5,[],,
50352216,2023-11-25 00:12:13+00:00,0x2c9042d29e347ab3ccbe2525dfe6843b87d44ff109e3af534c8dad0f123f86f9,2,15,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x0000000000000000000000007c7a121c601b9b77b1e441c28b6dd17b882636e3']",0x000000000000000000000000000000000000000000000000000000008ce7f5abfffffffffffffffffffffffffffffffffffffffffffffffff0403e5a80d005e4000000000000000000000000000000000000559af96b35289245079289db47740000000000000000000000000000000000000000000000000fdb35eb05e8b4420000000000000000000000000000000000000000000000000000000000030ce4,[],,
50352216,2023-11-25 00:12:13+00:00,0x8c35273fcdb45a202ebe469bf724514d16532505ea64093a2028515721375332,7,105,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45', '0x0000000000000000000000008e34a22c5c397d7ce8b7c46efc72067c0f1374dd']",0x000000000000000000000000000000000000000000000000000000009af9725dffffffffffffffffffffffffffffffffffffffffffffffffeeae20c3085827380000000000000000000000000000000000005599e1ca4b8d595242ab8c95e4c30000000000000000000000000000000000000000000000000fdb35eb05e8b4420000000000000000000000000000000000000000000000000000000000030ce3,[],,
50352226,2023-11-25 00:12:35+00:00,0xa71824167092d985c429ae08827a97efe7c778431f152eb12e863708a5339276,0,4,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000c0497f48517f3031a8cf85591b99b27c2585a637', '0x000000000000000000000000c43f4d3573d72f5bb1bb53e81080f6a6342dd3b9']",0x000000000000000000000000000000000000000000000000000000001de979d7fffffffffffffffffffffffffffffffffffffffffffffffffca841f3ec1f083a0000000000000000000000000000000000005599abd2533c03b7d07362b61dbf0000000000000000000000000000000000000000000000000fdb35eb05e8b4420000000000000000000000000000000000000000000000000000000000030ce3,[],,
50352228,2023-11-25 00:12:39+00:00,0x91f301cfb1abde681b10152b605faa26105b0b0103ec7ca77a333bacea0ad1e9,1,10,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x0000000000000000000000007c7a121c601b9b77b1e441c28b6dd17b882636e3']",0x000000000000000000000000000000000000000000000000000000009d18d1f5ffffffffffffffffffffffffffffffffffffffffffffffffee71f045a4f5e71100000000000000000000000000000000000055989065a7641dd5d9ee294ded6e0000000000000000000000000000000000000000000000000fdb35eb05e8b4420000000000000000000000000000000000000000000000000000000000030ce2,[],,
