block_number,block_timestamp,transaction_hash,pool_tx_index,pool_log_index,pool_topics,pool_data,proxy_topics,proxy_data,proxy_log_index
23383815,2022-01-05 21:58:08+00:00,0x52ee10a1be3f1f5c35628028fd20a05c11351eb60295c5ca1c0078a27a5a4c9f,43,198,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000db6f1920a889355780af7570773609bd8cb1f498']",0x000000000000000000000000000000000000000000000000000000001e133b0cfffffffffffffffffffffffffffffffffffffffffffffffffe09752b7912aa05000000000000000000000000000000000000416b669ab6ff53824910a480b64300000000000000000000000000000000000000000000000006c1fd4094d0124f000000000000000000000000000000000000000000000000000000000002f7e1,[],,
23383820,2022-01-05 21:58:18+00:00,0xebdeb29489900bcc070e242225afe44ea03f140a804b0c4359936ce3148c11f4,81,261,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45', '0x0000000000000000000000003aea1176d3092bf0dd4c28e1a1603cbf4d5ca44d']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffe76f517d900000000000000000000000000000000000000000000000019af85df4c6963d0000000000000000000000000000000000000416f3375c1f3cb489f788a4447ee00000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7e6,[],,
23383829,2022-01-05 21:58:37+00:00,0xc14a99a459541da92e95959b497500d288debb8a1981fe95558eb1450c58071e,55,164,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564']",0x000000000000000000000000000000000000000000000000000000003b9aca00fffffffffffffffffffffffffffffffffffffffffffffffffc1ba1acde507d9e000000000000000000000000000000000000416e9ff8139c84a71f2c24ed79df00000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7e5,[],,
23383829,2022-01-05 21:58:37+00:00,0x8293fd411abeb951d8d06cfc0976e63b3db21012928a9aa134daee83c1e402f3,56,189,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564']",0x000000000000000000000000000000000000000000000000000000003b9aca00fffffffffffffffffffffffffffffffffffffffffffffffffc1bb33866396ea4000000000000000000000000000000000000416e0c7cfe252695e3f433ee6fb300000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7e4,[],,
23383840,2022-01-05 21:58:59+00:00,0x154a801eff5b4c88d09aef1526e68aede1d7ff668f5d9856535cdbc255a327cb,9,40,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000db6f1920a889355780af7570773609bd8cb1f498']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffea545dad400000000000000000000000000000000000000000000000016aa5aa0270731e7000000000000000000000000000000000000417166f8fe95279ff2ccea54de0100000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7e8,[],,
23383844,2022-01-05 21:59:07+00:00,0x14897685220193f6a7c0e483b6cb6e24e4d226a4c7214224376f6d287897da1a,36,112,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45', '0x0000000000000000000000001e76e58bc19403bf09a16cb022b67b2304b7dc7b']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffb0768ae4600000000000000000000000000000000000000000000000053444835ec580000000000000000000000000000000000000000417db8cffe628f8960f43fe321c700000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7f7,[],,
23383851,2022-01-05 21:59:21+00:00,0x9a0f0c55b315e71225b85184abef760bbcc9871bd9fbccbce0fabbf144cb379c,23,97,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000def171fe48cf0115b1d80b88dc8eab59176fee57']",0x00000000000000000000000000000000000000000000000000000003680f1663ffffffffffffffffffffffffffffffffffffffffffffffffc6fbf9cd6657a9690000000000000000000000000000000000004175482f490573f78c814eff4e5f00000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7ed,[],,
23383856,2022-01-05 21:59:31+00:00,0xaa3a34b3fcceeefebaacfc772b7ef744c8bb5f7781939e310f958557a254fd13,24,77,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000db6f1920a889355780af7570773609bd8cb1f498']",0x000000000000000000000000000000000000000000000000000000016c979940ffffffffffffffffffffffffffffffffffffffffffffffffe82e050c7a43d1610000000000000000000000000000000000004171c1827f171f474fe070d61e5c00000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7e9,[],,
23383871,2022-01-05 22:00:01+00:00,0x8cbff917fbf9673bb2a58275f4d58f5b7660499daf4dfba5abb2751a68273788,3,21,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000897a6bbee1f08fd5ca3e698db6645bcf2c85b936', '0x0000000000000000000000007228cc6599676dbf447430833773a9233aa95c88']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffff04fef17f000000000000000000000000000000000000000000000000106a1760553ac84f00000000000000000000000000000000000041742f3a62aa5cec17641a338e7d00000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7ec,[],,
23383871,2022-01-05 22:00:01+00:00,0x07826d242271a53f38a2018e14fb162e27a60f66e27d59655f2224d5bfc31e08,10,133,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000db6f1920a889355780af7570773609bd8cb1f498']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffff547b04340000000000000000000000000000000000000000000000000b3821246e5a507e0000000000000000000000000000000000004175d82c2bdfe7826c977c48560100000000000000000000000000000000000000000000000006c165840653a9f5000000000000000000000000000000000000000000000000000000000002f7ee,[],,
