block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
22838014,2021-12-22 18:37:11,SWAP,0xf141a0ba08ddb0f8a023c1eb787112c8a2b8c9bd5ac5b4ec84878a65b0cdc9aa,41,181,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-2497673,625703996656114,53867413708118,0,1254142518963326709711644611593038,193402.0,,,,
22838160,2021-12-22 18:42:15,SWAP,0xec1a0a6659cf0eeff60e605c90715725be67804d979f7bde90e28818a62d22d1,44,240,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-5017654,1259776339427864,53867413708118,0,1255994470872696098688074593502810,193431.0,,,,
22838172,2021-12-22 18:42:39,SWAP,0x669a669c6b420e7fb4a136153d6296f7838600a709f308aed8306cf819b08fa4,46,260,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-2499723,628991872667579,53867413708118,0,1256919129213313593149615778851062,193446.0,,,,
22839219,2021-12-22 19:18:38,SWAP,0x771523abaa9fe3ec79430bc7e64d87e179594e35961f28cfef5b73d35ae52744,36,290,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,1000000,-251484070352760,53867413708118,0,1256549246580677482981151103602739,193440.0,,,,
22839240,2021-12-22 19:19:24,SWAP,0x3348422da579a7a748838c424c9ecb16024669a9f4a9b51b8d73a557a36a29f5,61,339,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,5165791,-1296760519123334,53867413708118,0,1254641971920938211629723533544450,193410.0,,,,
22839562,2021-12-22 19:30:28,SWAP,0x6ad1bc2b5cfe2f0fa536a26fe309ee47028205295440d16e6f9de274067ea509,42,181,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,1299485,-325588191526789,53867413708118,0,1254163096987554833652029587157946,193402.0,,,,
22840732,2021-12-22 20:12:48,SWAP,0x117006f2224e5eef1c92520dd81309416f568f909d86d1a261b73ab36b5df21f,58,350,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2614871,-654407722576592,53867413708118,0,1253200594468391298878655768885950,193387.0,,,,
22840741,2021-12-22 20:13:06,SWAP,0xd26c37f0026452d2974411aa1148dffcaf9effa64fcc1d910e35acfb4733f0a4,67,288,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x33001f9fb722e0cb9f07f3caa237037f32533c3c,2607244,-651499716018786,53867413708118,0,1252242369043676790439324848209650,193371.0,,,,
22842044,2021-12-22 20:57:52,SWAP,0x2b9613af9f68d634442d313c1f43abf45e1b0bc974b79d3c372a5052d47937f3,37,199,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x09a1a849974d021a0f74366e5020884ff73e3abb,-2604984,651586385446043,53867413708118,0,1253200242765288303059125415259357,193387.0,,,,
22842080,2021-12-22 20:59:08,SWAP,0x3a892e85bedb007d45b850a55ff7cbd6448570f471ce16f57cc74f8128d60b82,39,150,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,783770,-195953603519967,53867413708118,0,1252912034312789385005977141133818,193382.0,,,,
22842214,2021-12-22 21:03:44,SWAP,0x01602f5670be8966316fe2db97ba09ec1611ecf30def8873673ccdafc16118cc,7,60,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,-3493519,875000000000000,53867413708118,0,1254198340357745077249907973688890,193403.0,,,,
22842391,2021-12-22 21:12:00,SWAP,0xfd0ba19b1cd84ee946e3086d9863e8dd7c54496264918c6b4b551738f4c4ded7,41,241,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2797495,-700113805504596,53867413708118,0,1253168613356898944671278090832770,193386.0,,,,
22842699,2021-12-22 21:22:36,SWAP,0x57c1ad3cf573ae1fc7f3d9e04763658c5ebe9b2fc7e63cc4ee4aa35a4e3c6f6f,17,75,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x200ce646610bef24b988d1125b779c22ece4a2d4,-2984681,747748924134260,53867413708118,0,1254267852169725245051877056160336,193404.0,,,,
22842855,2021-12-22 21:27:56,SWAP,0xaf25be2b71c168c876c63d13f2a04f15d4374fb4d73a278fed0f001530a906df,68,376,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,3476225,-869898820502887,53867413708118,0,1252988405462014028865616499900630,193383.0,,,,
22842856,2021-12-22 21:27:58,SWAP,0x261ca9ac993848f83302cb5967238863b32a20c6b7387a80340357ef1c2b2c62,105,706,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,2327607,-581474699119581,53867413708118,0,1252133172793718384205247476938055,193370.0,,,,
22843357,2021-12-22 21:47:21,MINT,0xedd49eb90d1510e1016b7e4982af42ae683d0d1be8c89e185b84f3b470aaccab,42,228,230.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,6907216583,1549488996365212081,1750944716432324,1697077302724206,1252133172793718384205247476938055,193370.0,136.0,192180.0,194700.0,1697077302724206
22843362,2021-12-22 21:47:31,SWAP,0xcaab3149c4dd6f0f5d841f83440f9fb4cfb3e56db4e5b890a7028f63003ad4d8,33,183,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,54933440,-13706916833125269,1697337397087341,0,1251493788192115080529213967783910,193359.0,,,,
22843364,2021-12-22 21:47:35,SWAP,0x945e0ff757a08cf17d45e194c01f96596528af4c5170cc8a5e09a21de312fdc9,7,29,,0x2ec255797fef7669fa243509b7a599121148ffba,0x2ec255797fef7669fa243509b7a599121148ffba,85046693,-21193126420032388,1697337397087341,0,1250504537341298368625743081974180,193344.0,,,,
22843431,2021-12-22 21:49:53,SWAP,0x2fa2f71745c692ae067fd96b7958fe59ab4e68cf4f7a6c6c70b0f10bf360a6bd,26,83,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xebaf5741ab3df7aab87616ead8e2a55aef2c1c35,-345071362,86281560000000000,1750944716432324,0,1254456173146697603328979817983213,193407.0,,,,
22843434,2021-12-22 21:49:59,SWAP,0x8350752f3a90809c157b21bb3b2d6564df2447acbf9c0be376eba3666913f360,17,110,,0x2ec255797fef7669fa243509b7a599121148ffba,0x2ec255797fef7669fa243509b7a599121148ffba,250000000,-62501936577312986,1697337397087341,0,1251612506745353778135623319739931,193361.0,,,,
22843441,2021-12-22 21:50:13,SWAP,0x312bb57f025c6893c75b4c8b0992d0ee352036f5fbc59a68e465a211e88ccad0,9,42,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,155047815,-38619186050389098,1697337397087341,0,1249809843848855191506350971478709,193333.0,,,,
22843447,2021-12-22 21:50:25,SWAP,0x29cb1bac7b89141c40af20de0dc82f53cd800a6cde30adb176df486e7b5d82a1,108,252,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x032396f7993aa08183cceb33041227eb10782664,-300000000,74898907182366617,1750944716432324,0,1253267954593217820933193104953540,193388.0,,,,
22843452,2021-12-22 21:50:35,SWAP,0x545c9c80972f2fe847b0f071a7227488a167939cdc2c4ab379e5c79965cc0dc6,36,222,,0x2ec255797fef7669fa243509b7a599121148ffba,0x2ec255797fef7669fa243509b7a599121148ffba,94323032,-23569996362782490,1750944716432324,0,1252201440336790509035423086519160,193371.0,,,,
22843455,2021-12-22 21:50:41,SWAP,0x8460a0c0cb9a1e7fc4470478aefae607227a4ba820cbfae3f5e17f1fb302ebc8,29,133,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,12770748,-3188144096911873,1697337397087341,0,1252055206170223911514237479752522,193368.0,,,,
22843472,2021-12-22 21:51:19,SWAP,0x215e38b80f8ee3f256ad0c002ca316f29019b7f3d9ad3d2acccb6c57c2ad1b8c,15,96,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-20007157,5000000000000000,1750944716432324,0,1252283311535915572988928453475715,193372.0,,,,
22843474,2021-12-22 21:51:23,SWAP,0xb6435c4bab641d072470ead1a70c6822deac79a4123c0c86d734ea76ef967cfb,14,90,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,24992500,-6239359652970917,1697337397087341,0,1251997238756924512569732902830779,193368.0,,,,
22843500,2021-12-22 21:52:15,SWAP,0x06b90fe3acd828a5fddb511c2d4bc90603627df9def6a9fd54460229b14777b4,34,146,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,76944097,-19190877394636957,1697337397087341,0,1251101448706211702240723931942090,193353.0,,,,
22843507,2021-12-22 21:52:29,SWAP,0x84f0c8ced6871ad62376d94353f9f0de2547a0539b47a40139dbf67c8ca7b438,28,139,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,257453,-64166025640449,1697337397087341,0,1251098453570232220615510437871986,193353.0,,,,
22843520,2021-12-22 21:52:59,SWAP,0xaa399384fbd288961d926a636c85b3b3ddf49d432a4d562813560ea353d8a896,31,199,,0x11431a89893025d2a48dca4eddc396f8c8117187,0x11431a89893025d2a48dca4eddc396f8c8117187,171875000,-42768672180249882,1697337397087341,0,1249102101332998287597403216488613,193321.0,,,,
22843524,2021-12-22 21:53:07,SWAP,0x3ccf1a24db52e886c1fba1a2a8c544751964a82a089c70dab8c0e93aa3885bc1,10,110,,0x1111111254fb6c44bac0bed2854e76f90643097d,0xf2cc3a54ce52d3e4e8d37cad53b65c200b03c20f,-85152514,21193126420032388,1697337397087341,0,1250090857558389591070052988172048,193337.0,,,,
22843531,2021-12-22 21:53:21,SWAP,0xe1352cb2785409e88f7beeb185e13c3650b2b7137245897e60ace31d5b05e45f,42,284,,0x2ec255797fef7669fa243509b7a599121148ffba,0x2ec255797fef7669fa243509b7a599121148ffba,-162974365,40655466305463575,1697337397087341,0,1251987620905571665558314345519662,193367.0,,,,
22843544,2021-12-22 21:53:47,SWAP,0x14130edf8c9377f5b3db30623e99079e4b1c928caf8ea652b68f205c0aa17fcd,41,222,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,100000000,-24935596404476481,1697337397087341,0,1250823679377084675927640169901648,193349.0,,,,
22843575,2021-12-22 21:54:49,SWAP,0x5a1568ec656e2ccde5dec6b7975abb2f565b4123470ccb3f582e3d5646b52a71,36,201,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,53065907,-13213479904058278,1697337397087341,0,1250206901749363659386180714457299,193339.0,,,,
22843657,2021-12-22 21:57:41,SWAP,0xe9fd33bcf5f88f49059fdf24d8bb7f8876693e14505092f593f4dd49f1ac992d,159,373,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,-20142396,5018966408870447,1697337397087341,0,1250441059475007656379567225429990,193343.0,,,,
